,Ante,Conse
84,['MOROSHA 1LT DJERELNA VODKA'],"['LAV ROSY CAY DESTI 12LI', 'POMIDOR KG']"
85,['POMIDOR KG'],"['LAV ROSY CAY DESTI 12LI', 'MOROSHA 1LT DJERELNA VODKA']"
86,"['DONDURMA HAAGEN DAZS 100GR CIYELEK KREM', 'LYULI-LYULI 0.5LT ARAQ']",['BIZIM SUFRE 250GR BURGER SOUSU PL/Q']
87,"['BIZIM SUFRE 250GR BURGER SOUSU PL/Q', 'LYULI-LYULI 0.5LT ARAQ']",['DONDURMA HAAGEN DAZS 100GR CIYELEK KREM']
88,"['DONDURMA HAAGEN DAZS 100GR CIYELEK KREM', 'BIZIM SUFRE 250GR BURGER SOUSU PL/Q']",['LYULI-LYULI 0.5LT ARAQ']
89,['LYULI-LYULI 0.5LT ARAQ'],"['DONDURMA HAAGEN DAZS 100GR CIYELEK KREM', 'BIZIM SUFRE 250GR BURGER SOUSU PL/Q']"
90,['DONDURMA HAAGEN DAZS 100GR CIYELEK KREM'],"['BIZIM SUFRE 250GR BURGER SOUSU PL/Q', 'LYULI-LYULI 0.5LT ARAQ']"
91,['BIZIM SUFRE 250GR BURGER SOUSU PL/Q'],"['DONDURMA HAAGEN DAZS 100GR CIYELEK KREM', 'LYULI-LYULI 0.5LT ARAQ']"
92,"['COREK COREKCI 450GR KOMBE COVDARLI', 'RUSSKAYA LEQENDA 0.7LT PREMIUM 40% ARAQ']",['FROZEN HAPPY BIRTHDAY 4-LU SAM DESTI']
93,"['COREK COREKCI 450GR KOMBE COVDARLI', 'FROZEN HAPPY BIRTHDAY 4-LU SAM DESTI']",['RUSSKAYA LEQENDA 0.7LT PREMIUM 40% ARAQ']
94,"['RUSSKAYA LEQENDA 0.7LT PREMIUM 40% ARAQ', 'FROZEN HAPPY BIRTHDAY 4-LU SAM DESTI']",['COREK COREKCI 450GR KOMBE COVDARLI']
95,['COREK COREKCI 450GR KOMBE COVDARLI'],"['RUSSKAYA LEQENDA 0.7LT PREMIUM 40% ARAQ', 'FROZEN HAPPY BIRTHDAY 4-LU SAM DESTI']"
96,['RUSSKAYA LEQENDA 0.7LT PREMIUM 40% ARAQ'],"['COREK COREKCI 450GR KOMBE COVDARLI', 'FROZEN HAPPY BIRTHDAY 4-LU SAM DESTI']"
97,['FROZEN HAPPY BIRTHDAY 4-LU SAM DESTI'],"['COREK COREKCI 450GR KOMBE COVDARLI', 'RUSSKAYA LEQENDA 0.7LT PREMIUM 40% ARAQ']"
98,"['DELSTER 330ML PIVE ALKOQOLSUZ SAFTALI S/Q', 'CASKA HEDIYYE MISKALI']",['KONFET KDV YARCE! ARAXIS V KARAMELI KG']
99,"['DELSTER 330ML PIVE ALKOQOLSUZ SAFTALI S/Q', 'KONFET KDV YARCE! ARAXIS V KARAMELI KG']",['CASKA HEDIYYE MISKALI']
100,"['CASKA HEDIYYE MISKALI', 'KONFET KDV YARCE! ARAXIS V KARAMELI KG']",['DELSTER 330ML PIVE ALKOQOLSUZ SAFTALI S/Q']
101,['DELSTER 330ML PIVE ALKOQOLSUZ SAFTALI S/Q'],"['CASKA HEDIYYE MISKALI', 'KONFET KDV YARCE! ARAXIS V KARAMELI KG']"
102,['CASKA HEDIYYE MISKALI'],"['DELSTER 330ML PIVE ALKOQOLSUZ SAFTALI S/Q', 'KONFET KDV YARCE! ARAXIS V KARAMELI KG']"
103,['KONFET KDV YARCE! ARAXIS V KARAMELI KG'],"['DELSTER 330ML PIVE ALKOQOLSUZ SAFTALI S/Q', 'CASKA HEDIYYE MISKALI']"
104,"['REBER 500GR ASSORTI SOKOLAD QUTU', 'KITCHEN TAXTA QASIQ SE-435']",['MAXEL SOTKA 20-LIK']
105,"['KITCHEN TAXTA QASIQ SE-435', 'MAXEL SOTKA 20-LIK']",['REBER 500GR ASSORTI SOKOLAD QUTU']
106,"['REBER 500GR ASSORTI SOKOLAD QUTU', 'MAXEL SOTKA 20-LIK']",['KITCHEN TAXTA QASIQ SE-435']
107,['KITCHEN TAXTA QASIQ SE-435'],"['REBER 500GR ASSORTI SOKOLAD QUTU', 'MAXEL SOTKA 20-LIK']"
108,['REBER 500GR ASSORTI SOKOLAD QUTU'],"['KITCHEN TAXTA QASIQ SE-435', 'MAXEL SOTKA 20-LIK']"
109,['MAXEL SOTKA 20-LIK'],"['REBER 500GR ASSORTI SOKOLAD QUTU', 'KITCHEN TAXTA QASIQ SE-435']"
110,"['BACARDI 0.5LT CARTA ORO ROM', 'BON PARI 40GR JUMBLE MIKS MARMELADOK POSET']",['MAXEL SOTKA 20-LIK']
111,"['BACARDI 0.5LT CARTA ORO ROM', 'MAXEL SOTKA 20-LIK']",['BON PARI 40GR JUMBLE MIKS MARMELADOK POSET']
